t=,42488, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.048, ca=,0.0180, cr=,0.0494,  1.677184, 
t=,84977, actvstrat=,mBuy=,-0.017, mSel=,+0.050, b=,0.000, m=,0.027, ca=,0.0130, cr=,0.0472,  2.051567, 
t=,127465, actvstrat=,mBuy=,-0.017, mSel=,+0.050, b=,0.000, m=,0.027, ca=,0.0130, cr=,0.0472,  2.076168, 
t=,169955, actvstrat=,mBuy=,-0.017, mSel=,+0.050, b=,0.000, m=,0.027, ca=,0.0130, cr=,0.0472,  1.757943, 
t=,212444, actvstrat=,mBuy=,-0.004, mSel=,+0.050, b=,0.018, m=,0.045, ca=,0.0095, cr=,0.0507,  1.651906, 
t=,254932, actvstrat=,mBuy=,+0.000, mSel=,+0.050, b=,0.000, m=,0.072, ca=,0.0098, cr=,0.0501,  1.951139, 
t=,297421, actvstrat=,mBuy=,-0.026, mSel=,+0.050, b=,0.002, m=,0.057, ca=,0.0103, cr=,0.0494,  2.696303, 
t=,339909, actvstrat=,mBuy=,-0.026, mSel=,+0.050, b=,0.002, m=,0.057, ca=,0.0103, cr=,0.0494,  2.812839, 
t=,382398, actvstrat=,mBuy=,-0.026, mSel=,+0.050, b=,0.002, m=,0.057, ca=,0.0103, cr=,0.0494,  2.622986, 
t=,424886, actvstrat=,mBuy=,-0.005, mSel=,+0.050, b=,0.000, m=,0.032, ca=,0.0078, cr=,0.0483,  2.763612, 
t=,467375, actvstrat=,mBuy=,-0.023, mSel=,+0.050, b=,0.006, m=,0.016, ca=,0.0049, cr=,0.0437,  1.679206, 
t=,509864, actvstrat=,mBuy=,-0.023, mSel=,+0.050, b=,0.006, m=,0.016, ca=,0.0049, cr=,0.0437,  1.750420, 
t=,552352, actvstrat=,mBuy=,-0.023, mSel=,+0.050, b=,0.006, m=,0.016, ca=,0.0049, cr=,0.0437,  1.724148, 
t=,594840, actvstrat=,mBuy=,-0.023, mSel=,+0.050, b=,0.006, m=,0.016, ca=,0.0049, cr=,0.0437,  1.756813, 
t=,637329, actvstrat=,mBuy=,-0.020, mSel=,+0.050, b=,0.000, m=,0.059, ca=,0.0041, cr=,0.0452,  1.861667, 
t=,679817, actvstrat=,mBuy=,-0.020, mSel=,+0.050, b=,0.000, m=,0.059, ca=,0.0041, cr=,0.0452,  1.897459, 
t=,722306, actvstrat=,mBuy=,-0.020, mSel=,+0.050, b=,0.000, m=,0.059, ca=,0.0041, cr=,0.0452,  2.050058, 
t=,764795, actvstrat=,mBuy=,-0.020, mSel=,+0.050, b=,0.000, m=,0.059, ca=,0.0041, cr=,0.0452,  2.091519, 
t=,807283, actvstrat=,mBuy=,-0.020, mSel=,+0.050, b=,0.000, m=,0.059, ca=,0.0041, cr=,0.0452,  1.833483, 
t=,849771, actvstrat=,mBuy=,-0.020, mSel=,+0.050, b=,0.000, m=,0.059, ca=,0.0041, cr=,0.0452,  2.079177, 
t=,892260, actvstrat=,mBuy=,-0.019, mSel=,+0.050, b=,0.013, m=,0.066, ca=,0.0043, cr=,0.0458,  1.664359, 
t=,934749, actvstrat=,mBuy=,-0.018, mSel=,+0.050, b=,0.041, m=,0.069, ca=,0.0047, cr=,0.0438,  1.696157, 
t=,977238, actvstrat=,mBuy=,-0.001, mSel=,+0.050, b=,0.038, m=,0.088, ca=,0.0060, cr=,0.0442,  1.672390, 
t=,1019726, actvstrat=,mBuy=,+0.000, mSel=,+0.050, b=,0.025, m=,0.090, ca=,0.0084, cr=,0.0473,  1.689648, 
t=,1062215, actvstrat=,mBuy=,-0.034, mSel=,+0.050, b=,0.020, m=,0.052, ca=,0.0081, cr=,0.0452,  1.731238, 
t=,1104704, actvstrat=,mBuy=,+0.000, mSel=,+0.050, b=,0.017, m=,0.094, ca=,0.0066, cr=,0.0474,  1.713473, 
t=,1147193, actvstrat=,mBuy=,+0.000, mSel=,+0.050, b=,0.017, m=,0.094, ca=,0.0066, cr=,0.0474,  1.664421, 
t=,1189682, actvstrat=,mBuy=,-0.039, mSel=,+0.050, b=,0.000, m=,0.112, ca=,0.0091, cr=,0.0499,  1.842499, 
t=,1232170, actvstrat=,mBuy=,-0.039, mSel=,+0.050, b=,0.000, m=,0.112, ca=,0.0091, cr=,0.0499,  1.802767, 
t=,1274659, actvstrat=,mBuy=,+0.000, mSel=,+0.050, b=,0.004, m=,0.034, ca=,0.0088, cr=,0.0506,  1.888052, 
t=,1317148, actvstrat=,mBuy=,-0.036, mSel=,+0.050, b=,0.002, m=,0.051, ca=,0.0116, cr=,0.0522,  2.183340, 
t=,1359636, actvstrat=,mBuy=,-0.036, mSel=,+0.050, b=,0.002, m=,0.051, ca=,0.0116, cr=,0.0522,  3.058196, 
t=,1402125, actvstrat=,mBuy=,-0.039, mSel=,+0.050, b=,0.000, m=,0.076, ca=,0.0102, cr=,0.0480,  3.252070, 
t=,1444613, actvstrat=,mBuy=,-0.039, mSel=,+0.050, b=,0.000, m=,0.076, ca=,0.0102, cr=,0.0480,  1.850162, 
t=,1487102, actvstrat=,mBuy=,-0.039, mSel=,+0.050, b=,0.000, m=,0.076, ca=,0.0102, cr=,0.0480,  1.781576, 
t=,1529590, actvstrat=,mBuy=,-0.039, mSel=,+0.050, b=,0.000, m=,0.076, ca=,0.0102, cr=,0.0480,  1.784019, 
t=,1572079, actvstrat=,mBuy=,-0.047, mSel=,+0.050, b=,0.004, m=,0.075, ca=,0.0113, cr=,0.0422,  2.065209, 
t=,1614568, actvstrat=,mBuy=,-0.022, mSel=,+0.050, b=,0.000, m=,0.081, ca=,0.0115, cr=,0.0414,  2.127471, 
t=,1657056, actvstrat=,mBuy=,-0.049, mSel=,+0.050, b=,0.002, m=,0.056, ca=,0.0077, cr=,0.0438,  2.777967, 
t=,1699545, actvstrat=,mBuy=,-0.049, mSel=,+0.050, b=,0.002, m=,0.056, ca=,0.0077, cr=,0.0438,  2.470261, 
t=,1742034, actvstrat=,mBuy=,-0.049, mSel=,+0.050, b=,0.002, m=,0.056, ca=,0.0077, cr=,0.0438,  2.216147, 
t=,1784523, actvstrat=,mBuy=,-0.044, mSel=,+0.050, b=,0.000, m=,0.060, ca=,0.0117, cr=,0.0405,  2.898664, 
t=,1827011, actvstrat=,mBuy=,-0.056, mSel=,+0.050, b=,0.003, m=,0.042, ca=,0.0142, cr=,0.0433,  2.387520, 
t=,1869500, actvstrat=,mBuy=,-0.056, mSel=,+0.050, b=,0.003, m=,0.042, ca=,0.0142, cr=,0.0433,  2.362513, 
t=,1911988, actvstrat=,mBuy=,-0.056, mSel=,+0.050, b=,0.003, m=,0.042, ca=,0.0142, cr=,0.0433,  2.300758, 
t=,1954477, actvstrat=,mBuy=,-0.056, mSel=,+0.050, b=,0.003, m=,0.042, ca=,0.0142, cr=,0.0433,  2.279340, 
t=,1996965, actvstrat=,mBuy=,-0.056, mSel=,+0.050, b=,0.003, m=,0.042, ca=,0.0142, cr=,0.0433,  2.286646, 
t=,2039454, actvstrat=,mBuy=,-0.038, mSel=,+0.050, b=,0.000, m=,0.038, ca=,0.0145, cr=,0.0433,  2.417101, 
t=,2081943, actvstrat=,mBuy=,-0.038, mSel=,+0.050, b=,0.000, m=,0.038, ca=,0.0145, cr=,0.0433,  2.382986, 
t=,2124432, actvstrat=,mBuy=,-0.027, mSel=,+0.050, b=,0.018, m=,0.020, ca=,0.0139, cr=,0.0421,  1.684769, 
t=,2166920, actvstrat=,mBuy=,-0.042, mSel=,+0.050, b=,0.039, m=,0.048, ca=,0.0150, cr=,0.0424,  1.680810, 
t=,2209409, actvstrat=,mBuy=,+0.000, mSel=,+0.050, b=,0.073, m=,0.059, ca=,0.0196, cr=,0.0440,  1.654410, 
t=,2251898, actvstrat=,mBuy=,-0.007, mSel=,+0.050, b=,0.041, m=,0.018, ca=,0.0188, cr=,0.0462,  1.662671, 
t=,2294386, actvstrat=,mBuy=,+0.000, mSel=,+0.050, b=,0.001, m=,0.000, ca=,0.0206, cr=,0.0499,  1.872626, 
t=,2336875, actvstrat=,mBuy=,-0.003, mSel=,+0.050, b=,0.019, m=,0.040, ca=,0.0209, cr=,0.0501,  1.694385, 
t=,2379364, actvstrat=,mBuy=,+0.000, mSel=,+0.050, b=,0.000, m=,0.023, ca=,0.0236, cr=,0.0481,  1.828274, 
t=,2421853, actvstrat=,mBuy=,-0.034, mSel=,+0.050, b=,0.005, m=,0.020, ca=,0.0194, cr=,0.0447,  1.843576, 
t=,2464342, actvstrat=,mBuy=,-0.034, mSel=,+0.050, b=,0.005, m=,0.020, ca=,0.0194, cr=,0.0447,  1.835266, 
t=,2506830, actvstrat=,mBuy=,-0.034, mSel=,+0.050, b=,0.005, m=,0.020, ca=,0.0194, cr=,0.0447,  1.831534, 
t=,2549319, actvstrat=,mBuy=,-0.034, mSel=,+0.050, b=,0.005, m=,0.020, ca=,0.0194, cr=,0.0447,  1.920301, 
