t=,40809, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.038, ca=,0.0329, cr=,0.0351,  1.233395, 
t=,81617, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.038, ca=,0.0329, cr=,0.0351,  1.160152, 
t=,122426, actvstrat=,mBuy=,-0.054, mSel=,+0.050, b=,0.002, m=,0.008, ca=,0.0306, cr=,0.0336,  2.157605, 
t=,163235, actvstrat=,mBuy=,-0.054, mSel=,+0.050, b=,0.002, m=,0.008, ca=,0.0306, cr=,0.0336,  2.108593, 
t=,204044, actvstrat=,mBuy=,-0.054, mSel=,+0.050, b=,0.002, m=,0.008, ca=,0.0306, cr=,0.0336,  2.214067, 
t=,244852, actvstrat=,mBuy=,-0.054, mSel=,+0.050, b=,0.002, m=,0.008, ca=,0.0306, cr=,0.0336,  2.115941, 
t=,285661, actvstrat=,mBuy=,-0.054, mSel=,+0.050, b=,0.002, m=,0.008, ca=,0.0306, cr=,0.0336,  2.118375, 
t=,326469, actvstrat=,mBuy=,-0.064, mSel=,+0.050, b=,0.000, m=,0.000, ca=,0.0320, cr=,0.0340,  2.273078, 
t=,367278, actvstrat=,mBuy=,-0.094, mSel=,+0.050, b=,0.001, m=,0.002, ca=,0.0336, cr=,0.0306,  1.791535, 
t=,408086, actvstrat=,mBuy=,-0.116, mSel=,+0.050, b=,0.039, m=,0.034, ca=,0.0367, cr=,0.0259,  1.222220, 
t=,448896, actvstrat=,mBuy=,-0.116, mSel=,+0.050, b=,0.039, m=,0.034, ca=,0.0367, cr=,0.0259,  1.222779, 
t=,489704, actvstrat=,mBuy=,-0.089, mSel=,+0.050, b=,0.003, m=,0.055, ca=,0.0424, cr=,0.0234,  1.691215, 
t=,530513, actvstrat=,mBuy=,-0.089, mSel=,+0.050, b=,0.003, m=,0.055, ca=,0.0424, cr=,0.0234,  1.674778, 
t=,571322, actvstrat=,mBuy=,-0.112, mSel=,+0.050, b=,0.003, m=,0.073, ca=,0.0407, cr=,0.0213,  1.813322, 
t=,612131, actvstrat=,mBuy=,-0.112, mSel=,+0.050, b=,0.003, m=,0.073, ca=,0.0407, cr=,0.0213,  1.751173, 
t=,652940, actvstrat=,mBuy=,-0.112, mSel=,+0.050, b=,0.003, m=,0.073, ca=,0.0407, cr=,0.0213,  1.857778, 
t=,693749, actvstrat=,mBuy=,-0.112, mSel=,+0.050, b=,0.003, m=,0.073, ca=,0.0407, cr=,0.0213,  1.824670, 
t=,734561, actvstrat=,mBuy=,-0.112, mSel=,+0.050, b=,0.003, m=,0.073, ca=,0.0407, cr=,0.0213,  1.755126, 
t=,775369, actvstrat=,mBuy=,-0.112, mSel=,+0.050, b=,0.003, m=,0.073, ca=,0.0407, cr=,0.0213,  1.741493, 
t=,816178, actvstrat=,mBuy=,-0.112, mSel=,+0.050, b=,0.003, m=,0.073, ca=,0.0407, cr=,0.0213,  1.746484, 
t=,856986, actvstrat=,mBuy=,-0.093, mSel=,+0.050, b=,0.000, m=,0.053, ca=,0.0384, cr=,0.0171,  2.165706, 
t=,897795, actvstrat=,mBuy=,-0.161, mSel=,+0.050, b=,0.033, m=,0.080, ca=,0.0384, cr=,0.0168,  1.241382, 
t=,938603, actvstrat=,mBuy=,-0.157, mSel=,+0.050, b=,0.000, m=,0.066, ca=,0.0384, cr=,0.0199,  1.399127, 
t=,979412, actvstrat=,mBuy=,-0.188, mSel=,+0.050, b=,0.007, m=,0.050, ca=,0.0408, cr=,0.0222,  1.295088, 
t=,1020220, actvstrat=,mBuy=,-0.188, mSel=,+0.050, b=,0.000, m=,0.068, ca=,0.0403, cr=,0.0221,  1.354192, 
t=,1061028, actvstrat=,mBuy=,-0.163, mSel=,+0.050, b=,0.001, m=,0.036, ca=,0.0404, cr=,0.0232,  1.426002, 
t=,1101838, actvstrat=,mBuy=,-0.212, mSel=,+0.050, b=,0.000, m=,0.069, ca=,0.0394, cr=,0.0243,  2.161073, 
t=,1142646, actvstrat=,mBuy=,-0.212, mSel=,+0.050, b=,0.000, m=,0.069, ca=,0.0394, cr=,0.0243,  2.178559, 
t=,1183458, actvstrat=,mBuy=,-0.205, mSel=,+0.050, b=,0.021, m=,0.056, ca=,0.0429, cr=,0.0241,  1.259605, 
