t=,35901, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.023, ca=,0.0436, cr=,0.0495,  0.665853, 
t=,71801, actvstrat=,mBuy=,-0.076, mSel=,+0.050, b=,0.000, m=,0.015, ca=,0.0469, cr=,0.0516,  0.983683, 
t=,107701, actvstrat=,mBuy=,-0.076, mSel=,+0.050, b=,0.000, m=,0.015, ca=,0.0469, cr=,0.0516,  0.982082, 
t=,143602, actvstrat=,mBuy=,-0.097, mSel=,+0.050, b=,0.060, m=,0.026, ca=,0.0461, cr=,0.0528,  0.798889, 
t=,179502, actvstrat=,mBuy=,-0.097, mSel=,+0.050, b=,0.060, m=,0.026, ca=,0.0461, cr=,0.0528,  0.870496, 
t=,215403, actvstrat=,mBuy=,-0.119, mSel=,+0.050, b=,0.070, m=,0.032, ca=,0.0437, cr=,0.0553,  0.877432, 
t=,251304, actvstrat=,mBuy=,-0.077, mSel=,+0.050, b=,0.089, m=,0.000, ca=,0.0363, cr=,0.0572,  0.898896, 
t=,287204, actvstrat=,mBuy=,-0.063, mSel=,+0.050, b=,0.076, m=,0.023, ca=,0.0358, cr=,0.0559,  0.894095, 
t=,323105, actvstrat=,mBuy=,-0.074, mSel=,+0.050, b=,0.091, m=,0.000, ca=,0.0394, cr=,0.0563,  0.902473, 
t=,359006, actvstrat=,mBuy=,-0.036, mSel=,+0.050, b=,0.110, m=,0.009, ca=,0.0368, cr=,0.0570,  0.946182, 
t=,394906, actvstrat=,mBuy=,-0.040, mSel=,+0.050, b=,0.109, m=,0.000, ca=,0.0378, cr=,0.0590,  0.980399, 
t=,430807, actvstrat=,mBuy=,-0.040, mSel=,+0.050, b=,0.109, m=,0.000, ca=,0.0378, cr=,0.0590,  1.004280, 
t=,466708, actvstrat=,mBuy=,-0.030, mSel=,+0.050, b=,0.144, m=,0.038, ca=,0.0393, cr=,0.0600,  0.996095, 
t=,502609, actvstrat=,mBuy=,-0.030, mSel=,+0.050, b=,0.144, m=,0.038, ca=,0.0393, cr=,0.0600,  1.043691, 
t=,538509, actvstrat=,mBuy=,-0.017, mSel=,+0.050, b=,0.213, m=,0.000, ca=,0.0386, cr=,0.0626,  1.100537, 
t=,574409, actvstrat=,mBuy=,-0.017, mSel=,+0.050, b=,0.213, m=,0.000, ca=,0.0386, cr=,0.0626,  1.118098, 
t=,610309, actvstrat=,mBuy=,-0.010, mSel=,+0.050, b=,0.251, m=,0.010, ca=,0.0373, cr=,0.0641,  1.176077, 
t=,646210, actvstrat=,mBuy=,-0.010, mSel=,+0.050, b=,0.251, m=,0.010, ca=,0.0373, cr=,0.0641,  1.173324, 
t=,682111, actvstrat=,mBuy=,-0.036, mSel=,+0.050, b=,0.238, m=,0.000, ca=,0.0368, cr=,0.0648,  1.134922, 
t=,718011, actvstrat=,mBuy=,-0.032, mSel=,+0.050, b=,0.213, m=,0.005, ca=,0.0369, cr=,0.0646,  1.197280, 
t=,753911, actvstrat=,mBuy=,-0.002, mSel=,+0.050, b=,0.224, m=,0.003, ca=,0.0357, cr=,0.0650,  1.115238, 
