t=,35096, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.018, ca=,0.0330, cr=,0.0459,  1.035721, 
t=,70193, actvstrat=,mBuy=,-0.008, mSel=,+0.053, b=,0.019, m=,0.068, ca=,0.0363, cr=,0.0468,  1.071974, 
t=,105289, actvstrat=,mBuy=,-0.004, mSel=,+0.023, b=,0.031, m=,0.081, ca=,0.0380, cr=,0.0488,  1.063215, 
t=,140385, actvstrat=,mBuy=,-0.004, mSel=,+0.023, b=,0.031, m=,0.081, ca=,0.0380, cr=,0.0488,  1.072198, 
t=,175482, actvstrat=,mBuy=,-0.009, mSel=,+0.071, b=,0.039, m=,0.084, ca=,0.0367, cr=,0.0518,  1.113829, 
t=,210578, actvstrat=,mBuy=,+0.000, mSel=,+0.071, b=,0.040, m=,0.144, ca=,0.0368, cr=,0.0532,  1.052295, 
t=,245675, actvstrat=,mBuy=,-0.026, mSel=,+0.061, b=,0.000, m=,0.156, ca=,0.0349, cr=,0.0505,  1.365343, 
t=,280772, actvstrat=,mBuy=,-0.064, mSel=,+0.063, b=,0.013, m=,0.118, ca=,0.0349, cr=,0.0550,  1.046920, 
t=,315868, actvstrat=,mBuy=,-0.051, mSel=,+0.062, b=,0.003, m=,0.095, ca=,0.0312, cr=,0.0514,  1.951929, 
t=,350966, actvstrat=,mBuy=,-0.051, mSel=,+0.062, b=,0.003, m=,0.095, ca=,0.0312, cr=,0.0514,  1.943244, 
t=,386063, actvstrat=,mBuy=,-0.051, mSel=,+0.062, b=,0.003, m=,0.095, ca=,0.0312, cr=,0.0514,  1.883655, 
t=,421159, actvstrat=,mBuy=,-0.051, mSel=,+0.062, b=,0.003, m=,0.095, ca=,0.0312, cr=,0.0514,  1.926738, 
t=,456256, actvstrat=,mBuy=,-0.051, mSel=,+0.062, b=,0.003, m=,0.095, ca=,0.0312, cr=,0.0514,  1.897739, 
t=,491352, actvstrat=,mBuy=,-0.051, mSel=,+0.062, b=,0.003, m=,0.095, ca=,0.0312, cr=,0.0514,  1.828367, 
t=,526449, actvstrat=,mBuy=,-0.051, mSel=,+0.062, b=,0.003, m=,0.095, ca=,0.0312, cr=,0.0514,  1.901527, 
t=,561545, actvstrat=,mBuy=,-0.051, mSel=,+0.062, b=,0.003, m=,0.095, ca=,0.0312, cr=,0.0514,  1.884016, 
t=,596642, actvstrat=,mBuy=,-0.051, mSel=,+0.062, b=,0.003, m=,0.095, ca=,0.0312, cr=,0.0514,  1.810891, 
t=,631738, actvstrat=,mBuy=,-0.051, mSel=,+0.062, b=,0.003, m=,0.095, ca=,0.0312, cr=,0.0514,  1.935587, 
t=,666836, actvstrat=,mBuy=,-0.058, mSel=,+0.070, b=,0.002, m=,0.100, ca=,0.0322, cr=,0.0524,  2.192605, 
t=,701932, actvstrat=,mBuy=,-0.097, mSel=,+0.056, b=,0.000, m=,0.117, ca=,0.0302, cr=,0.0511,  2.422209, 
t=,737029, actvstrat=,mBuy=,-0.083, mSel=,+0.044, b=,0.006, m=,0.112, ca=,0.0319, cr=,0.0486,  1.101793, 
t=,772126, actvstrat=,mBuy=,-0.083, mSel=,+0.044, b=,0.006, m=,0.112, ca=,0.0319, cr=,0.0486,  1.155647, 
t=,807223, actvstrat=,mBuy=,-0.083, mSel=,+0.044, b=,0.006, m=,0.112, ca=,0.0319, cr=,0.0486,  1.226124, 
t=,842320, actvstrat=,mBuy=,-0.080, mSel=,+0.077, b=,0.000, m=,0.121, ca=,0.0299, cr=,0.0527,  1.559094, 
t=,877417, actvstrat=,mBuy=,-0.065, mSel=,+0.121, b=,0.002, m=,0.130, ca=,0.0297, cr=,0.0496,  2.083759, 
t=,912515, actvstrat=,mBuy=,-0.065, mSel=,+0.121, b=,0.002, m=,0.130, ca=,0.0297, cr=,0.0496,  2.192939, 
t=,947611, actvstrat=,mBuy=,-0.065, mSel=,+0.121, b=,0.002, m=,0.130, ca=,0.0297, cr=,0.0496,  2.135417, 
t=,982708, actvstrat=,mBuy=,-0.065, mSel=,+0.121, b=,0.002, m=,0.130, ca=,0.0297, cr=,0.0496,  2.070363, 
t=,1017806, actvstrat=,mBuy=,-0.065, mSel=,+0.121, b=,0.002, m=,0.130, ca=,0.0297, cr=,0.0496,  2.004338, 
t=,1052902, actvstrat=,mBuy=,-0.065, mSel=,+0.121, b=,0.002, m=,0.130, ca=,0.0297, cr=,0.0496,  2.156916, 
t=,1087999, actvstrat=,mBuy=,-0.065, mSel=,+0.121, b=,0.002, m=,0.130, ca=,0.0297, cr=,0.0496,  2.051630, 
t=,1123095, actvstrat=,mBuy=,-0.065, mSel=,+0.121, b=,0.002, m=,0.130, ca=,0.0297, cr=,0.0496,  2.157323, 
