t=,37864, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.093, ca=,0.0172, cr=,0.0414,  actvprof=,1.978377, best_B_id=,B07, best_B_prof=,1.978377, best_B_strat=, mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.093, ca=,0.0172, cr=,0.0414, 
t=,75728, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.025, mSel=,+0.089, b=,0.000, m=,0.090, ca=,0.0222, cr=,0.0415,  actvprof=,1.983519, best_B_id=,B07, best_B_prof=,1.983519, best_B_strat=, mBuy=,-0.025, mSel=,+0.089, b=,0.000, m=,0.090, ca=,0.0222, cr=,0.0415, 
t=,113593, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.027, mSel=,+0.118, b=,0.006, m=,0.076, ca=,0.0186, cr=,0.0386,  actvprof=,2.199689, best_B_id=,B07, best_B_prof=,2.199689, best_B_strat=, mBuy=,-0.027, mSel=,+0.118, b=,0.006, m=,0.076, ca=,0.0186, cr=,0.0386, 
t=,151457, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.027, mSel=,+0.118, b=,0.006, m=,0.076, ca=,0.0186, cr=,0.0386,  actvprof=,2.294200, best_B_id=,B07, best_B_prof=,2.294200, best_B_strat=, mBuy=,-0.027, mSel=,+0.118, b=,0.006, m=,0.076, ca=,0.0186, cr=,0.0386, 
t=,189322, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.046, mSel=,+0.129, b=,0.000, m=,0.077, ca=,0.0208, cr=,0.0376,  actvprof=,2.273453, best_B_id=,B07, best_B_prof=,2.273453, best_B_strat=, mBuy=,-0.046, mSel=,+0.129, b=,0.000, m=,0.077, ca=,0.0208, cr=,0.0376, 
t=,227187, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.046, mSel=,+0.129, b=,0.000, m=,0.077, ca=,0.0208, cr=,0.0376,  actvprof=,2.106626, best_B_id=,B07, best_B_prof=,2.106626, best_B_strat=, mBuy=,-0.046, mSel=,+0.129, b=,0.000, m=,0.077, ca=,0.0208, cr=,0.0376, 
t=,265051, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.046, mSel=,+0.129, b=,0.000, m=,0.077, ca=,0.0208, cr=,0.0376,  actvprof=,2.003296, best_B_id=,B07, best_B_prof=,2.003296, best_B_strat=, mBuy=,-0.046, mSel=,+0.129, b=,0.000, m=,0.077, ca=,0.0208, cr=,0.0376, 
t=,302916, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.046, mSel=,+0.129, b=,0.000, m=,0.077, ca=,0.0208, cr=,0.0376,  actvprof=,2.560127, best_B_id=,B07, best_B_prof=,2.560127, best_B_strat=, mBuy=,-0.046, mSel=,+0.129, b=,0.000, m=,0.077, ca=,0.0208, cr=,0.0376, 
t=,340780, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.046, mSel=,+0.129, b=,0.000, m=,0.077, ca=,0.0208, cr=,0.0376,  actvprof=,2.115522, best_B_id=,B07, best_B_prof=,2.115522, best_B_strat=, mBuy=,-0.046, mSel=,+0.129, b=,0.000, m=,0.077, ca=,0.0208, cr=,0.0376, 
t=,378644, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.035, mSel=,+0.086, b=,0.020, m=,0.104, ca=,0.0199, cr=,0.0388,  actvprof=,1.928835, best_B_id=,B07, best_B_prof=,1.928835, best_B_strat=, mBuy=,-0.035, mSel=,+0.086, b=,0.020, m=,0.104, ca=,0.0199, cr=,0.0388, 
t=,416509, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.071, mSel=,+0.061, b=,0.007, m=,0.087, ca=,0.0217, cr=,0.0362,  actvprof=,1.945119, best_B_id=,B07, best_B_prof=,1.945119, best_B_strat=, mBuy=,-0.071, mSel=,+0.061, b=,0.007, m=,0.087, ca=,0.0217, cr=,0.0362, 
t=,454374, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.100, mSel=,+0.061, b=,0.005, m=,0.094, ca=,0.0163, cr=,0.0393,  actvprof=,2.445482, best_B_id=,B07, best_B_prof=,2.445482, best_B_strat=, mBuy=,-0.100, mSel=,+0.061, b=,0.005, m=,0.094, ca=,0.0163, cr=,0.0393, 
t=,492238, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.100, mSel=,+0.061, b=,0.005, m=,0.094, ca=,0.0163, cr=,0.0393,  actvprof=,2.426525, best_B_id=,B07, best_B_prof=,2.426525, best_B_strat=, mBuy=,-0.100, mSel=,+0.061, b=,0.005, m=,0.094, ca=,0.0163, cr=,0.0393, 
t=,530102, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.100, mSel=,+0.061, b=,0.005, m=,0.094, ca=,0.0163, cr=,0.0393,  actvprof=,2.449156, best_B_id=,B07, best_B_prof=,2.449156, best_B_strat=, mBuy=,-0.100, mSel=,+0.061, b=,0.005, m=,0.094, ca=,0.0163, cr=,0.0393, 
t=,567966, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.100, mSel=,+0.061, b=,0.005, m=,0.094, ca=,0.0163, cr=,0.0393,  actvprof=,2.404495, best_B_id=,B07, best_B_prof=,2.404495, best_B_strat=, mBuy=,-0.100, mSel=,+0.061, b=,0.005, m=,0.094, ca=,0.0163, cr=,0.0393, 
t=,605831, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.118, mSel=,+0.040, b=,0.000, m=,0.123, ca=,0.0164, cr=,0.0436,  actvprof=,2.644910, best_B_id=,B07, best_B_prof=,2.644910, best_B_strat=, mBuy=,-0.118, mSel=,+0.040, b=,0.000, m=,0.123, ca=,0.0164, cr=,0.0436, 
t=,643695, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.094, mSel=,+0.039, b=,0.008, m=,0.049, ca=,0.0143, cr=,0.0415,  actvprof=,1.953845, best_B_id=,B07, best_B_prof=,1.953845, best_B_strat=, mBuy=,-0.094, mSel=,+0.039, b=,0.008, m=,0.049, ca=,0.0143, cr=,0.0415, 
t=,681560, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.134, mSel=,+0.025, b=,0.000, m=,0.075, ca=,0.0142, cr=,0.0399,  actvprof=,2.671661, best_B_id=,B07, best_B_prof=,2.671661, best_B_strat=, mBuy=,-0.134, mSel=,+0.025, b=,0.000, m=,0.075, ca=,0.0142, cr=,0.0399, 
t=,719424, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.134, mSel=,+0.025, b=,0.000, m=,0.075, ca=,0.0142, cr=,0.0399,  actvprof=,2.570179, best_B_id=,B07, best_B_prof=,2.570179, best_B_strat=, mBuy=,-0.134, mSel=,+0.025, b=,0.000, m=,0.075, ca=,0.0142, cr=,0.0399, 
t=,757288, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.133, mSel=,+0.054, b=,0.022, m=,0.050, ca=,0.0108, cr=,0.0353,  actvprof=,1.923170, best_B_id=,B07, best_B_prof=,1.923170, best_B_strat=, mBuy=,-0.133, mSel=,+0.054, b=,0.022, m=,0.050, ca=,0.0108, cr=,0.0353, 
t=,795152, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.108, mSel=,+0.038, b=,0.000, m=,0.060, ca=,0.0111, cr=,0.0375,  actvprof=,2.180204, best_B_id=,B07, best_B_prof=,2.180204, best_B_strat=, mBuy=,-0.108, mSel=,+0.038, b=,0.000, m=,0.060, ca=,0.0111, cr=,0.0375, 
t=,833016, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.116, mSel=,+0.034, b=,0.002, m=,0.033, ca=,0.0108, cr=,0.0379,  actvprof=,3.486376, best_B_id=,B07, best_B_prof=,3.486376, best_B_strat=, mBuy=,-0.116, mSel=,+0.034, b=,0.002, m=,0.033, ca=,0.0108, cr=,0.0379, 
t=,870881, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.108, mSel=,+0.041, b=,0.000, m=,0.042, ca=,0.0130, cr=,0.0332,  actvprof=,3.646430, best_B_id=,B07, best_B_prof=,3.646430, best_B_strat=, mBuy=,-0.108, mSel=,+0.041, b=,0.000, m=,0.042, ca=,0.0130, cr=,0.0332, 
t=,908745, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.108, mSel=,+0.041, b=,0.000, m=,0.042, ca=,0.0130, cr=,0.0332,  actvprof=,1.973103, best_B_id=,B07, best_B_prof=,1.973103, best_B_strat=, mBuy=,-0.108, mSel=,+0.041, b=,0.000, m=,0.042, ca=,0.0130, cr=,0.0332, 
t=,946609, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.108, mSel=,+0.041, b=,0.000, m=,0.042, ca=,0.0130, cr=,0.0332,  actvprof=,2.205561, best_B_id=,B07, best_B_prof=,2.205561, best_B_strat=, mBuy=,-0.108, mSel=,+0.041, b=,0.000, m=,0.042, ca=,0.0130, cr=,0.0332, 
t=,984474, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.097, mSel=,+0.012, b=,0.004, m=,0.127, ca=,0.0144, cr=,0.0310,  actvprof=,2.647404, best_B_id=,B07, best_B_prof=,2.647404, best_B_strat=, mBuy=,-0.097, mSel=,+0.012, b=,0.004, m=,0.127, ca=,0.0144, cr=,0.0310, 
t=,1022338, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.097, mSel=,+0.012, b=,0.004, m=,0.127, ca=,0.0144, cr=,0.0310,  actvprof=,2.638258, best_B_id=,B07, best_B_prof=,2.638258, best_B_strat=, mBuy=,-0.097, mSel=,+0.012, b=,0.004, m=,0.127, ca=,0.0144, cr=,0.0310, 
t=,1060202, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.082, mSel=,+0.010, b=,0.000, m=,0.162, ca=,0.0121, cr=,0.0301,  actvprof=,2.805507, best_B_id=,B07, best_B_prof=,2.805507, best_B_strat=, mBuy=,-0.082, mSel=,+0.010, b=,0.000, m=,0.162, ca=,0.0121, cr=,0.0301, 
t=,1098067, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.082, mSel=,+0.010, b=,0.000, m=,0.162, ca=,0.0121, cr=,0.0301,  actvprof=,2.292280, best_B_id=,B07, best_B_prof=,2.292280, best_B_strat=, mBuy=,-0.082, mSel=,+0.010, b=,0.000, m=,0.162, ca=,0.0121, cr=,0.0301, 
t=,1135931, id=,B07, ZIPSH,actvstrat=,mBuy=,-0.080, mSel=,+0.027, b=,0.032, m=,0.159, ca=,0.0094, cr=,0.0294,  actvprof=,1.938495, best_B_id=,B07, best_B_prof=,1.938495, best_B_strat=, mBuy=,-0.080, mSel=,+0.027, b=,0.032, m=,0.159, ca=,0.0094, cr=,0.0294, 
