t=,42856, id=,B02, ZIPSH,actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.028, ca=,0.0236, cr=,0.0125,  actvprof=,0.673176, best_B_id=,B02, best_B_prof=,0.673176, best_B_strat=, mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.028, ca=,0.0236, cr=,0.0125, 
t=,85713, id=,B02, ZIPSH,actvstrat=,mBuy=,-0.077, mSel=,+0.023, b=,0.000, m=,0.049, ca=,0.0220, cr=,0.0073,  actvprof=,1.514109, best_B_id=,B02, best_B_prof=,1.514109, best_B_strat=, mBuy=,-0.077, mSel=,+0.023, b=,0.000, m=,0.049, ca=,0.0220, cr=,0.0073, 
t=,128569, id=,B02, ZIPSH,actvstrat=,mBuy=,-0.077, mSel=,+0.023, b=,0.000, m=,0.049, ca=,0.0220, cr=,0.0073,  actvprof=,1.519496, best_B_id=,B02, best_B_prof=,1.519496, best_B_strat=, mBuy=,-0.077, mSel=,+0.023, b=,0.000, m=,0.049, ca=,0.0220, cr=,0.0073, 
t=,171426, id=,B02, ZIPSH,actvstrat=,mBuy=,-0.077, mSel=,+0.023, b=,0.000, m=,0.049, ca=,0.0220, cr=,0.0073,  actvprof=,0.855596, best_B_id=,B02, best_B_prof=,0.855596, best_B_strat=, mBuy=,-0.077, mSel=,+0.023, b=,0.000, m=,0.049, ca=,0.0220, cr=,0.0073, 
t=,214282, id=,B02, ZIPSH,actvstrat=,mBuy=,-0.116, mSel=,+0.017, b=,0.014, m=,0.021, ca=,0.0235, cr=,0.0104,  actvprof=,0.692457, best_B_id=,B02, best_B_prof=,0.692457, best_B_strat=, mBuy=,-0.116, mSel=,+0.017, b=,0.014, m=,0.021, ca=,0.0235, cr=,0.0104, 
t=,257139, id=,B02, ZIPSH,actvstrat=,mBuy=,-0.095, mSel=,+0.010, b=,0.000, m=,0.058, ca=,0.0194, cr=,0.0110,  actvprof=,1.353190, best_B_id=,B02, best_B_prof=,1.353190, best_B_strat=, mBuy=,-0.095, mSel=,+0.010, b=,0.000, m=,0.058, ca=,0.0194, cr=,0.0110, 
t=,299995, id=,B02, ZIPSH,actvstrat=,mBuy=,-0.095, mSel=,+0.010, b=,0.000, m=,0.058, ca=,0.0194, cr=,0.0110,  actvprof=,1.463255, best_B_id=,B02, best_B_prof=,1.463255, best_B_strat=, mBuy=,-0.095, mSel=,+0.010, b=,0.000, m=,0.058, ca=,0.0194, cr=,0.0110, 
t=,342852, id=,B02, ZIPSH,actvstrat=,mBuy=,-0.095, mSel=,+0.010, b=,0.000, m=,0.058, ca=,0.0194, cr=,0.0110,  actvprof=,0.776970, best_B_id=,B02, best_B_prof=,0.776970, best_B_strat=, mBuy=,-0.095, mSel=,+0.010, b=,0.000, m=,0.058, ca=,0.0194, cr=,0.0110, 
t=,385709, id=,B02, ZIPSH,actvstrat=,mBuy=,-0.095, mSel=,+0.010, b=,0.000, m=,0.058, ca=,0.0194, cr=,0.0110,  actvprof=,0.847149, best_B_id=,B02, best_B_prof=,0.847149, best_B_strat=, mBuy=,-0.095, mSel=,+0.010, b=,0.000, m=,0.058, ca=,0.0194, cr=,0.0110, 
t=,428566, id=,B02, ZIPSH,actvstrat=,mBuy=,-0.095, mSel=,+0.010, b=,0.000, m=,0.058, ca=,0.0194, cr=,0.0110,  actvprof=,1.486651, best_B_id=,B02, best_B_prof=,1.486651, best_B_strat=, mBuy=,-0.095, mSel=,+0.010, b=,0.000, m=,0.058, ca=,0.0194, cr=,0.0110, 
t=,471423, id=,B02, ZIPSH,actvstrat=,mBuy=,-0.095, mSel=,+0.010, b=,0.000, m=,0.058, ca=,0.0194, cr=,0.0110,  actvprof=,1.227451, best_B_id=,B02, best_B_prof=,1.227451, best_B_strat=, mBuy=,-0.095, mSel=,+0.010, b=,0.000, m=,0.058, ca=,0.0194, cr=,0.0110, 
