t=,594937, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.068, mSel=,+0.060, b=,0.001, m=,0.112, ca=,0.0093, cr=,0.0390,  actvprof=,1.975654, best_B_id=,B04, best_B_prof=,1.975654, best_B_strat=, mBuy=,-0.068, mSel=,+0.060, b=,0.001, m=,0.112, ca=,0.0093, cr=,0.0390, 
t=,626250, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.068, mSel=,+0.060, b=,0.001, m=,0.112, ca=,0.0093, cr=,0.0390,  actvprof=,1.735197, best_B_id=,B04, best_B_prof=,1.735197, best_B_strat=, mBuy=,-0.068, mSel=,+0.060, b=,0.001, m=,0.112, ca=,0.0093, cr=,0.0390, 
t=,657562, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.036, b=,0.001, m=,0.081, ca=,0.0047, cr=,0.0398,  actvprof=,1.902925, best_B_id=,B04, best_B_prof=,1.902925, best_B_strat=, mBuy=,+0.000, mSel=,+0.036, b=,0.001, m=,0.081, ca=,0.0047, cr=,0.0398, 
t=,688874, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.036, b=,0.001, m=,0.081, ca=,0.0047, cr=,0.0398,  actvprof=,1.446426, best_B_id=,B04, best_B_prof=,1.446426, best_B_strat=, mBuy=,+0.000, mSel=,+0.036, b=,0.001, m=,0.081, ca=,0.0047, cr=,0.0398, 
t=,720187, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.011, mSel=,+0.007, b=,0.003, m=,0.059, ca=,0.0005, cr=,0.0418,  actvprof=,2.211028, best_B_id=,B04, best_B_prof=,2.211028, best_B_strat=, mBuy=,-0.011, mSel=,+0.007, b=,0.003, m=,0.059, ca=,0.0005, cr=,0.0418, 
t=,751499, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.011, mSel=,+0.007, b=,0.003, m=,0.059, ca=,0.0005, cr=,0.0418,  actvprof=,2.350761, best_B_id=,B04, best_B_prof=,2.350761, best_B_strat=, mBuy=,-0.011, mSel=,+0.007, b=,0.003, m=,0.059, ca=,0.0005, cr=,0.0418, 
t=,782811, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.000, b=,0.000, m=,0.068, ca=,0.0007, cr=,0.0413,  actvprof=,2.547710, best_B_id=,B04, best_B_prof=,2.547710, best_B_strat=, mBuy=,+0.000, mSel=,+0.000, b=,0.000, m=,0.068, ca=,0.0007, cr=,0.0413, 
t=,814124, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.033, mSel=,+0.036, b=,0.006, m=,0.056, ca=,0.0000, cr=,0.0421,  actvprof=,1.245173, best_B_id=,B04, best_B_prof=,1.245173, best_B_strat=, mBuy=,-0.033, mSel=,+0.036, b=,0.006, m=,0.056, ca=,0.0000, cr=,0.0421, 
t=,845437, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.000, b=,0.000, m=,0.095, ca=,0.0002, cr=,0.0426,  actvprof=,1.686367, best_B_id=,B04, best_B_prof=,1.686367, best_B_strat=, mBuy=,+0.000, mSel=,+0.000, b=,0.000, m=,0.095, ca=,0.0002, cr=,0.0426, 
t=,876749, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.011, mSel=,+0.004, b=,0.026, m=,0.078, ca=,0.0029, cr=,0.0418,  actvprof=,1.147712, best_B_id=,B04, best_B_prof=,1.147712, best_B_strat=, mBuy=,-0.011, mSel=,+0.004, b=,0.026, m=,0.078, ca=,0.0029, cr=,0.0418, 
