t=,39668, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.049, ca=,0.0413, cr=,0.0232,  actvprof=,1.318374, best_B_id=,B05, best_B_prof=,1.318374, best_B_strat=, mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.049, ca=,0.0413, cr=,0.0232, 
t=,79337, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.049, ca=,0.0413, cr=,0.0232,  actvprof=,1.254553, best_B_id=,B05, best_B_prof=,1.254553, best_B_strat=, mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.049, ca=,0.0413, cr=,0.0232, 
t=,119005, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.026, mSel=,+0.018, b=,0.062, m=,0.082, ca=,0.0455, cr=,0.0177,  actvprof=,1.353788, best_B_id=,B05, best_B_prof=,1.353788, best_B_strat=, mBuy=,-0.026, mSel=,+0.018, b=,0.062, m=,0.082, ca=,0.0455, cr=,0.0177, 
t=,158673, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.026, mSel=,+0.018, b=,0.062, m=,0.082, ca=,0.0455, cr=,0.0177,  actvprof=,1.403376, best_B_id=,B05, best_B_prof=,1.403376, best_B_strat=, mBuy=,-0.026, mSel=,+0.018, b=,0.062, m=,0.082, ca=,0.0455, cr=,0.0177, 
t=,198342, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.028, mSel=,+0.050, b=,0.074, m=,0.093, ca=,0.0420, cr=,0.0152,  actvprof=,1.428593, best_B_id=,B05, best_B_prof=,1.428593, best_B_strat=, mBuy=,-0.028, mSel=,+0.050, b=,0.074, m=,0.093, ca=,0.0420, cr=,0.0152, 
t=,238010, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.048, mSel=,+0.049, b=,0.099, m=,0.140, ca=,0.0400, cr=,0.0170,  actvprof=,1.409565, best_B_id=,B05, best_B_prof=,1.409565, best_B_strat=, mBuy=,-0.048, mSel=,+0.049, b=,0.099, m=,0.140, ca=,0.0400, cr=,0.0170, 
t=,277680, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.039, mSel=,+0.057, b=,0.133, m=,0.120, ca=,0.0407, cr=,0.0175,  actvprof=,1.504581, best_B_id=,B05, best_B_prof=,1.504581, best_B_strat=, mBuy=,-0.039, mSel=,+0.057, b=,0.133, m=,0.120, ca=,0.0407, cr=,0.0175, 
t=,317348, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.039, mSel=,+0.057, b=,0.133, m=,0.120, ca=,0.0407, cr=,0.0175,  actvprof=,1.483111, best_B_id=,B05, best_B_prof=,1.483111, best_B_strat=, mBuy=,-0.039, mSel=,+0.057, b=,0.133, m=,0.120, ca=,0.0407, cr=,0.0175, 
t=,357016, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.032, mSel=,+0.070, b=,0.135, m=,0.090, ca=,0.0359, cr=,0.0226,  actvprof=,1.451887, best_B_id=,B05, best_B_prof=,1.451887, best_B_strat=, mBuy=,-0.032, mSel=,+0.070, b=,0.135, m=,0.090, ca=,0.0359, cr=,0.0226, 
t=,396686, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.032, mSel=,+0.070, b=,0.135, m=,0.090, ca=,0.0359, cr=,0.0226,  actvprof=,1.500066, best_B_id=,B05, best_B_prof=,1.500066, best_B_strat=, mBuy=,-0.032, mSel=,+0.070, b=,0.135, m=,0.090, ca=,0.0359, cr=,0.0226, 
t=,436354, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.025, mSel=,+0.068, b=,0.161, m=,0.091, ca=,0.0405, cr=,0.0260,  actvprof=,1.531961, best_B_id=,B05, best_B_prof=,1.531961, best_B_strat=, mBuy=,-0.025, mSel=,+0.068, b=,0.161, m=,0.091, ca=,0.0405, cr=,0.0260, 
