t=,682111, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.026, mSel=,+0.000, b=,0.183, m=,0.053, ca=,0.0313, cr=,0.0572,  actvprof=,1.535427, best_B_id=,B04, best_B_prof=,1.535427, best_B_strat=, mBuy=,-0.026, mSel=,+0.000, b=,0.183, m=,0.053, ca=,0.0313, cr=,0.0572, 
t=,718012, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.040, b=,0.217, m=,0.053, ca=,0.0360, cr=,0.0557,  actvprof=,1.561958, best_B_id=,B04, best_B_prof=,1.561958, best_B_strat=, mBuy=,+0.000, mSel=,+0.040, b=,0.217, m=,0.053, ca=,0.0360, cr=,0.0557, 
t=,753912, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.021, mSel=,+0.029, b=,0.200, m=,0.014, ca=,0.0341, cr=,0.0588,  actvprof=,1.704222, best_B_id=,B04, best_B_prof=,1.704222, best_B_strat=, mBuy=,-0.021, mSel=,+0.029, b=,0.200, m=,0.014, ca=,0.0341, cr=,0.0588, 
t=,789813, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.033, mSel=,+0.013, b=,0.220, m=,0.038, ca=,0.0393, cr=,0.0625,  actvprof=,1.647009, best_B_id=,B04, best_B_prof=,1.647009, best_B_strat=, mBuy=,-0.033, mSel=,+0.013, b=,0.220, m=,0.038, ca=,0.0393, cr=,0.0625, 
t=,825713, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.056, mSel=,+0.000, b=,0.207, m=,0.028, ca=,0.0411, cr=,0.0650,  actvprof=,1.603394, best_B_id=,B04, best_B_prof=,1.603394, best_B_strat=, mBuy=,-0.056, mSel=,+0.000, b=,0.207, m=,0.028, ca=,0.0411, cr=,0.0650, 
t=,861613, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.049, mSel=,+0.001, b=,0.253, m=,0.002, ca=,0.0396, cr=,0.0662,  actvprof=,1.673536, best_B_id=,B04, best_B_prof=,1.673536, best_B_strat=, mBuy=,-0.049, mSel=,+0.001, b=,0.253, m=,0.002, ca=,0.0396, cr=,0.0662, 
t=,897513, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.049, mSel=,+0.001, b=,0.253, m=,0.002, ca=,0.0396, cr=,0.0662,  actvprof=,1.725415, best_B_id=,B04, best_B_prof=,1.725415, best_B_strat=, mBuy=,-0.049, mSel=,+0.001, b=,0.253, m=,0.002, ca=,0.0396, cr=,0.0662, 
t=,933413, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.049, mSel=,+0.001, b=,0.253, m=,0.002, ca=,0.0396, cr=,0.0662,  actvprof=,1.594834, best_B_id=,B04, best_B_prof=,1.594834, best_B_strat=, mBuy=,-0.049, mSel=,+0.001, b=,0.253, m=,0.002, ca=,0.0396, cr=,0.0662, 
t=,969314, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.049, mSel=,+0.001, b=,0.253, m=,0.002, ca=,0.0396, cr=,0.0662,  actvprof=,1.716993, best_B_id=,B04, best_B_prof=,1.716993, best_B_strat=, mBuy=,-0.049, mSel=,+0.001, b=,0.253, m=,0.002, ca=,0.0396, cr=,0.0662, 
t=,1005214, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.092, mSel=,+0.027, b=,0.248, m=,0.000, ca=,0.0404, cr=,0.0630,  actvprof=,1.668581, best_B_id=,B04, best_B_prof=,1.668581, best_B_strat=, mBuy=,-0.092, mSel=,+0.027, b=,0.248, m=,0.000, ca=,0.0404, cr=,0.0630, 
