t=,41117, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.052, ca=,0.0263, cr=,0.0260,  0.351717, 
t=,82233, actvstrat=,mBuy=,-0.102, mSel=,+0.072, b=,0.000, m=,0.065, ca=,0.0230, cr=,0.0291,  0.549177, 
t=,123349, actvstrat=,mBuy=,-0.124, mSel=,+0.058, b=,0.002, m=,0.075, ca=,0.0233, cr=,0.0325,  1.098887, 
t=,164466, actvstrat=,mBuy=,-0.135, mSel=,+0.025, b=,0.000, m=,0.045, ca=,0.0245, cr=,0.0308,  0.750684, 
t=,205583, actvstrat=,mBuy=,-0.131, mSel=,+0.014, b=,0.027, m=,0.037, ca=,0.0223, cr=,0.0337,  0.432352, 
t=,246700, actvstrat=,mBuy=,-0.123, mSel=,+0.014, b=,0.053, m=,0.058, ca=,0.0240, cr=,0.0313,  0.498042, 
t=,287817, actvstrat=,mBuy=,-0.154, mSel=,+0.014, b=,0.056, m=,0.039, ca=,0.0236, cr=,0.0282,  0.481499, 
t=,328934, actvstrat=,mBuy=,-0.164, mSel=,+0.072, b=,0.048, m=,0.028, ca=,0.0232, cr=,0.0286,  0.448084, 
t=,370051, actvstrat=,mBuy=,-0.151, mSel=,+0.067, b=,0.069, m=,0.041, ca=,0.0276, cr=,0.0287,  0.496546, 
t=,411167, actvstrat=,mBuy=,-0.149, mSel=,+0.125, b=,0.106, m=,0.015, ca=,0.0297, cr=,0.0275,  0.570214, 
t=,452283, actvstrat=,mBuy=,-0.130, mSel=,+0.111, b=,0.132, m=,0.001, ca=,0.0305, cr=,0.0294,  0.630038, 
t=,493400, actvstrat=,mBuy=,-0.122, mSel=,+0.154, b=,0.142, m=,0.011, ca=,0.0323, cr=,0.0322,  0.679200, 
t=,534517, actvstrat=,mBuy=,-0.167, mSel=,+0.167, b=,0.161, m=,0.000, ca=,0.0348, cr=,0.0314,  0.677567, 
t=,575635, actvstrat=,mBuy=,-0.178, mSel=,+0.153, b=,0.203, m=,0.005, ca=,0.0327, cr=,0.0351,  0.709879, 
t=,616753, actvstrat=,mBuy=,-0.158, mSel=,+0.124, b=,0.178, m=,0.000, ca=,0.0358, cr=,0.0357,  0.776293, 
t=,657870, actvstrat=,mBuy=,-0.181, mSel=,+0.092, b=,0.217, m=,0.007, ca=,0.0348, cr=,0.0374,  0.778349, 
t=,698986, actvstrat=,mBuy=,-0.156, mSel=,+0.086, b=,0.232, m=,0.000, ca=,0.0384, cr=,0.0378,  0.808911, 
t=,740102, actvstrat=,mBuy=,-0.196, mSel=,+0.068, b=,0.221, m=,0.005, ca=,0.0428, cr=,0.0392,  0.839612, 
t=,781219, actvstrat=,mBuy=,-0.181, mSel=,+0.072, b=,0.239, m=,0.000, ca=,0.0471, cr=,0.0374,  0.791335, 
t=,822336, actvstrat=,mBuy=,-0.163, mSel=,+0.061, b=,0.225, m=,0.033, ca=,0.0469, cr=,0.0319,  0.792773, 
t=,863453, actvstrat=,mBuy=,-0.174, mSel=,+0.051, b=,0.229, m=,0.000, ca=,0.0502, cr=,0.0337,  0.777567, 
t=,904569, actvstrat=,mBuy=,-0.214, mSel=,+0.029, b=,0.242, m=,0.023, ca=,0.0499, cr=,0.0357,  0.777192, 
t=,945686, actvstrat=,mBuy=,-0.211, mSel=,+0.000, b=,0.263, m=,0.012, ca=,0.0504, cr=,0.0362,  0.811417, 
t=,986803, actvstrat=,mBuy=,-0.208, mSel=,+0.031, b=,0.271, m=,0.007, ca=,0.0538, cr=,0.0331,  0.806616, 
t=,1027919, actvstrat=,mBuy=,-0.219, mSel=,+0.056, b=,0.311, m=,0.003, ca=,0.0565, cr=,0.0323,  0.823892, 
t=,1069036, actvstrat=,mBuy=,-0.201, mSel=,+0.034, b=,0.327, m=,0.027, ca=,0.0552, cr=,0.0294,  0.857879, 
t=,1110152, actvstrat=,mBuy=,-0.215, mSel=,+0.010, b=,0.345, m=,0.026, ca=,0.0517, cr=,0.0297,  0.840200, 
t=,1151269, actvstrat=,mBuy=,-0.217, mSel=,+0.007, b=,0.344, m=,0.000, ca=,0.0556, cr=,0.0311,  0.850036, 
t=,1192385, actvstrat=,mBuy=,-0.228, mSel=,+0.006, b=,0.325, m=,0.031, ca=,0.0566, cr=,0.0335,  0.900138, 
t=,1233502, actvstrat=,mBuy=,-0.210, mSel=,+0.000, b=,0.377, m=,0.027, ca=,0.0573, cr=,0.0364,  0.868629, 
t=,1274619, actvstrat=,mBuy=,-0.257, mSel=,+0.002, b=,0.385, m=,0.015, ca=,0.0583, cr=,0.0350,  0.872251, 
t=,1315735, actvstrat=,mBuy=,-0.214, mSel=,+0.009, b=,0.376, m=,0.000, ca=,0.0583, cr=,0.0363,  0.861754, 
t=,1356852, actvstrat=,mBuy=,-0.200, mSel=,+0.037, b=,0.361, m=,0.030, ca=,0.0563, cr=,0.0358,  0.896007, 
t=,1397969, actvstrat=,mBuy=,-0.139, mSel=,+0.031, b=,0.397, m=,0.035, ca=,0.0585, cr=,0.0354,  0.928490, 
t=,1439085, actvstrat=,mBuy=,-0.145, mSel=,+0.068, b=,0.398, m=,0.019, ca=,0.0629, cr=,0.0301,  0.855725, 
t=,1480202, actvstrat=,mBuy=,-0.178, mSel=,+0.074, b=,0.391, m=,0.021, ca=,0.0622, cr=,0.0257,  0.900295, 
t=,1521318, actvstrat=,mBuy=,-0.192, mSel=,+0.079, b=,0.422, m=,0.004, ca=,0.0627, cr=,0.0259,  0.901426, 
t=,1562435, actvstrat=,mBuy=,-0.149, mSel=,+0.093, b=,0.450, m=,0.003, ca=,0.0640, cr=,0.0263,  0.919497, 
t=,1603551, actvstrat=,mBuy=,-0.163, mSel=,+0.082, b=,0.438, m=,0.015, ca=,0.0607, cr=,0.0261,  0.910795, 
t=,1644668, actvstrat=,mBuy=,-0.156, mSel=,+0.056, b=,0.464, m=,0.006, ca=,0.0570, cr=,0.0270,  0.940069, 
t=,1685785, actvstrat=,mBuy=,-0.123, mSel=,+0.032, b=,0.535, m=,0.026, ca=,0.0589, cr=,0.0264,  0.910649, 
t=,1726901, actvstrat=,mBuy=,-0.114, mSel=,+0.015, b=,0.555, m=,0.000, ca=,0.0609, cr=,0.0267,  0.929356, 
t=,1768018, actvstrat=,mBuy=,-0.117, mSel=,+0.000, b=,0.550, m=,0.002, ca=,0.0631, cr=,0.0204,  0.975118, 
t=,1809134, actvstrat=,mBuy=,-0.092, mSel=,+0.032, b=,0.533, m=,0.000, ca=,0.0599, cr=,0.0131,  0.981321, 
t=,1850251, actvstrat=,mBuy=,-0.124, mSel=,+0.058, b=,0.002, m=,0.075, ca=,0.0233, cr=,0.0325,  1.098887, 
t=,1891368, actvstrat=,mBuy=,-0.113, mSel=,+0.042, b=,0.000, m=,0.092, ca=,0.0245, cr=,0.0319,  1.116333, 
t=,1932484, actvstrat=,mBuy=,-0.113, mSel=,+0.064, b=,0.000, m=,0.050, ca=,0.0246, cr=,0.0315,  1.088191, 
t=,1973601, actvstrat=,mBuy=,-0.144, mSel=,+0.125, b=,0.000, m=,0.045, ca=,0.0250, cr=,0.0279,  0.990078, 
t=,2014718, actvstrat=,mBuy=,-0.144, mSel=,+0.125, b=,0.000, m=,0.045, ca=,0.0250, cr=,0.0279,  0.992135, 
t=,2055834, actvstrat=,mBuy=,-0.144, mSel=,+0.125, b=,0.000, m=,0.045, ca=,0.0250, cr=,0.0279,  1.328703, 
t=,2096951, actvstrat=,mBuy=,-0.144, mSel=,+0.125, b=,0.000, m=,0.045, ca=,0.0250, cr=,0.0279,  1.509208, 
t=,2138067, actvstrat=,mBuy=,-0.136, mSel=,+0.083, b=,0.021, m=,0.043, ca=,0.0227, cr=,0.0319,  0.407187, 
t=,2179184, actvstrat=,mBuy=,-0.131, mSel=,+0.060, b=,0.000, m=,0.009, ca=,0.0199, cr=,0.0327,  1.025408, 
t=,2220301, actvstrat=,mBuy=,-0.131, mSel=,+0.060, b=,0.000, m=,0.009, ca=,0.0199, cr=,0.0327,  1.281574, 
t=,2261419, actvstrat=,mBuy=,-0.131, mSel=,+0.060, b=,0.000, m=,0.009, ca=,0.0199, cr=,0.0327,  1.180800, 
t=,2302536, actvstrat=,mBuy=,-0.131, mSel=,+0.060, b=,0.000, m=,0.009, ca=,0.0199, cr=,0.0327,  1.094301, 
t=,2343653, actvstrat=,mBuy=,-0.131, mSel=,+0.060, b=,0.000, m=,0.009, ca=,0.0199, cr=,0.0327,  1.055185, 
t=,2384771, actvstrat=,mBuy=,-0.162, mSel=,+0.007, b=,0.000, m=,0.003, ca=,0.0200, cr=,0.0305,  1.400707, 
t=,2425887, actvstrat=,mBuy=,-0.162, mSel=,+0.007, b=,0.000, m=,0.003, ca=,0.0200, cr=,0.0305,  1.439921, 
t=,2467004, actvstrat=,mBuy=,-0.162, mSel=,+0.007, b=,0.000, m=,0.003, ca=,0.0200, cr=,0.0305,  0.445801, 
t=,2508121, actvstrat=,mBuy=,-0.162, mSel=,+0.007, b=,0.000, m=,0.003, ca=,0.0200, cr=,0.0305,  1.395412, 
t=,2549239, actvstrat=,mBuy=,-0.162, mSel=,+0.040, b=,0.005, m=,0.027, ca=,0.0175, cr=,0.0353,  0.376885, 
t=,2590357, actvstrat=,mBuy=,-0.138, mSel=,+0.018, b=,0.000, m=,0.017, ca=,0.0153, cr=,0.0325,  0.453298, 
t=,2631473, actvstrat=,mBuy=,-0.138, mSel=,+0.018, b=,0.000, m=,0.017, ca=,0.0153, cr=,0.0325,  0.482186, 
t=,2672590, actvstrat=,mBuy=,-0.138, mSel=,+0.018, b=,0.000, m=,0.017, ca=,0.0153, cr=,0.0325,  1.289073, 
t=,2713707, actvstrat=,mBuy=,-0.138, mSel=,+0.018, b=,0.000, m=,0.017, ca=,0.0153, cr=,0.0325,  1.274518, 
t=,2754824, actvstrat=,mBuy=,-0.147, mSel=,+0.000, b=,0.016, m=,0.000, ca=,0.0204, cr=,0.0360,  0.384449, 
t=,2795942, actvstrat=,mBuy=,-0.115, mSel=,+0.022, b=,0.057, m=,0.032, ca=,0.0168, cr=,0.0333,  0.493168, 
t=,2837059, actvstrat=,mBuy=,-0.115, mSel=,+0.022, b=,0.057, m=,0.032, ca=,0.0168, cr=,0.0333,  0.520397, 
t=,2878176, actvstrat=,mBuy=,-0.121, mSel=,+0.000, b=,0.062, m=,0.003, ca=,0.0128, cr=,0.0333,  0.516712, 
t=,2919292, actvstrat=,mBuy=,-0.126, mSel=,+0.033, b=,0.100, m=,0.025, ca=,0.0105, cr=,0.0373,  0.601941, 
t=,2960409, actvstrat=,mBuy=,-0.126, mSel=,+0.033, b=,0.100, m=,0.025, ca=,0.0105, cr=,0.0373,  0.657702, 
t=,3001525, actvstrat=,mBuy=,-0.084, mSel=,+0.000, b=,0.078, m=,0.013, ca=,0.0106, cr=,0.0380,  0.604287, 
t=,3042642, actvstrat=,mBuy=,-0.066, mSel=,+0.071, b=,0.090, m=,0.000, ca=,0.0119, cr=,0.0391,  0.615098, 
t=,3083759, actvstrat=,mBuy=,-0.066, mSel=,+0.071, b=,0.090, m=,0.000, ca=,0.0119, cr=,0.0391,  0.614897, 
t=,3124876, actvstrat=,mBuy=,-0.066, mSel=,+0.071, b=,0.090, m=,0.000, ca=,0.0119, cr=,0.0391,  0.622874, 
t=,3165992, actvstrat=,mBuy=,-0.066, mSel=,+0.071, b=,0.090, m=,0.000, ca=,0.0119, cr=,0.0391,  0.634315, 
t=,3207109, actvstrat=,mBuy=,-0.066, mSel=,+0.071, b=,0.090, m=,0.000, ca=,0.0119, cr=,0.0391,  0.615302, 
