t=,35901, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.023, ca=,0.0436, cr=,0.0495,  0.665853, 
t=,71801, actvstrat=,mBuy=,-0.046, mSel=,+0.115, b=,0.044, m=,0.000, ca=,0.0439, cr=,0.0500,  0.820681, 
t=,107702, actvstrat=,mBuy=,-0.073, mSel=,+0.129, b=,0.082, m=,0.030, ca=,0.0414, cr=,0.0536,  0.884171, 
t=,143602, actvstrat=,mBuy=,-0.067, mSel=,+0.139, b=,0.115, m=,0.003, ca=,0.0410, cr=,0.0517,  0.949263, 
t=,179503, actvstrat=,mBuy=,-0.079, mSel=,+0.079, b=,0.132, m=,0.000, ca=,0.0384, cr=,0.0507,  1.014534, 
t=,215404, actvstrat=,mBuy=,-0.062, mSel=,+0.050, b=,0.158, m=,0.020, ca=,0.0397, cr=,0.0477,  1.079963, 
t=,251305, actvstrat=,mBuy=,-0.034, mSel=,+0.049, b=,0.199, m=,0.059, ca=,0.0413, cr=,0.0464,  1.064950, 
t=,287205, actvstrat=,mBuy=,-0.026, mSel=,+0.004, b=,0.204, m=,0.018, ca=,0.0400, cr=,0.0466,  1.076057, 
t=,323106, actvstrat=,mBuy=,-0.058, mSel=,+0.010, b=,0.197, m=,0.001, ca=,0.0354, cr=,0.0501,  1.105102, 
t=,359006, actvstrat=,mBuy=,-0.068, mSel=,+0.000, b=,0.225, m=,0.000, ca=,0.0332, cr=,0.0497,  1.140151, 
t=,394907, actvstrat=,mBuy=,-0.093, mSel=,+0.032, b=,0.231, m=,0.003, ca=,0.0296, cr=,0.0484,  1.133715, 
t=,430808, actvstrat=,mBuy=,-0.144, mSel=,+0.056, b=,0.234, m=,0.039, ca=,0.0293, cr=,0.0490,  1.128722, 
t=,466709, actvstrat=,mBuy=,-0.161, mSel=,+0.034, b=,0.285, m=,0.056, ca=,0.0272, cr=,0.0478,  1.130289, 
t=,502609, actvstrat=,mBuy=,-0.144, mSel=,+0.021, b=,0.342, m=,0.077, ca=,0.0270, cr=,0.0528,  1.104417, 
t=,538510, actvstrat=,mBuy=,-0.160, mSel=,+0.045, b=,0.375, m=,0.019, ca=,0.0298, cr=,0.0512,  1.195935, 
t=,574410, actvstrat=,mBuy=,-0.158, mSel=,+0.011, b=,0.391, m=,0.040, ca=,0.0324, cr=,0.0516,  1.212837, 
t=,610311, actvstrat=,mBuy=,-0.166, mSel=,+0.000, b=,0.356, m=,0.006, ca=,0.0332, cr=,0.0517,  1.219365, 
t=,646212, actvstrat=,mBuy=,-0.197, mSel=,+0.026, b=,0.335, m=,0.000, ca=,0.0333, cr=,0.0507,  1.219753, 
t=,682112, actvstrat=,mBuy=,-0.184, mSel=,+0.027, b=,0.357, m=,0.016, ca=,0.0314, cr=,0.0472,  1.233888, 
t=,718013, actvstrat=,mBuy=,-0.192, mSel=,+0.007, b=,0.351, m=,0.000, ca=,0.0274, cr=,0.0488,  1.259979, 
t=,753913, actvstrat=,mBuy=,-0.224, mSel=,+0.011, b=,0.298, m=,0.038, ca=,0.0255, cr=,0.0496,  1.204892, 
t=,789814, actvstrat=,mBuy=,-0.248, mSel=,+0.050, b=,0.320, m=,0.056, ca=,0.0262, cr=,0.0458,  1.165225, 
t=,825714, actvstrat=,mBuy=,-0.225, mSel=,+0.031, b=,0.301, m=,0.022, ca=,0.0243, cr=,0.0431,  1.186955, 
t=,861616, actvstrat=,mBuy=,-0.249, mSel=,+0.073, b=,0.291, m=,0.009, ca=,0.0190, cr=,0.0448,  1.168111, 
t=,897516, actvstrat=,mBuy=,-0.226, mSel=,+0.071, b=,0.295, m=,0.024, ca=,0.0184, cr=,0.0404,  1.170094, 
t=,933418, actvstrat=,mBuy=,-0.185, mSel=,+0.086, b=,0.336, m=,0.017, ca=,0.0194, cr=,0.0407,  1.208394, 
t=,969320, actvstrat=,mBuy=,-0.217, mSel=,+0.064, b=,0.333, m=,0.032, ca=,0.0212, cr=,0.0391,  1.223409, 
t=,1005221, actvstrat=,mBuy=,-0.167, mSel=,+0.080, b=,0.311, m=,0.000, ca=,0.0225, cr=,0.0386,  1.186336, 
t=,1041121, actvstrat=,mBuy=,-0.212, mSel=,+0.150, b=,0.337, m=,0.027, ca=,0.0191, cr=,0.0355,  1.200784, 
t=,1077022, actvstrat=,mBuy=,-0.203, mSel=,+0.130, b=,0.369, m=,0.000, ca=,0.0197, cr=,0.0319,  1.250578, 
t=,1112922, actvstrat=,mBuy=,-0.198, mSel=,+0.175, b=,0.377, m=,0.007, ca=,0.0187, cr=,0.0341,  1.259525, 
t=,1148823, actvstrat=,mBuy=,-0.216, mSel=,+0.164, b=,0.410, m=,0.000, ca=,0.0202, cr=,0.0315,  1.278083, 
t=,1184723, actvstrat=,mBuy=,-0.237, mSel=,+0.152, b=,0.427, m=,0.016, ca=,0.0237, cr=,0.0284,  1.265510, 
t=,1220624, actvstrat=,mBuy=,-0.275, mSel=,+0.140, b=,0.446, m=,0.000, ca=,0.0277, cr=,0.0313,  1.227409, 
t=,1256524, actvstrat=,mBuy=,-0.319, mSel=,+0.124, b=,0.466, m=,0.014, ca=,0.0307, cr=,0.0311,  1.251087, 
t=,1292425, actvstrat=,mBuy=,-0.371, mSel=,+0.108, b=,0.469, m=,0.000, ca=,0.0301, cr=,0.0322,  1.275050, 
t=,1328325, actvstrat=,mBuy=,-0.380, mSel=,+0.119, b=,0.492, m=,0.005, ca=,0.0265, cr=,0.0335,  1.258832, 
t=,1364226, actvstrat=,mBuy=,-0.432, mSel=,+0.078, b=,0.504, m=,0.022, ca=,0.0283, cr=,0.0366,  1.282317, 
t=,1400126, actvstrat=,mBuy=,-0.442, mSel=,+0.087, b=,0.462, m=,0.019, ca=,0.0258, cr=,0.0360,  1.261809, 
t=,1436027, actvstrat=,mBuy=,-0.503, mSel=,+0.043, b=,0.492, m=,0.042, ca=,0.0258, cr=,0.0341,  1.285387, 
t=,1471928, actvstrat=,mBuy=,-0.492, mSel=,+0.000, b=,0.456, m=,0.007, ca=,0.0225, cr=,0.0297,  1.281385, 
t=,1507829, actvstrat=,mBuy=,-0.470, mSel=,+0.009, b=,0.421, m=,0.000, ca=,0.0241, cr=,0.0287,  1.256080, 
t=,1543729, actvstrat=,mBuy=,-0.424, mSel=,+0.037, b=,0.394, m=,0.008, ca=,0.0269, cr=,0.0272,  1.222647, 
t=,1579630, actvstrat=,mBuy=,-0.420, mSel=,+0.016, b=,0.420, m=,0.011, ca=,0.0235, cr=,0.0285,  1.291506, 
t=,1615531, actvstrat=,mBuy=,-0.445, mSel=,+0.042, b=,0.457, m=,0.000, ca=,0.0230, cr=,0.0332,  1.258528, 
t=,1651432, actvstrat=,mBuy=,-0.479, mSel=,+0.020, b=,0.426, m=,0.013, ca=,0.0230, cr=,0.0315,  1.271156, 
t=,1687332, actvstrat=,mBuy=,-0.477, mSel=,+0.019, b=,0.440, m=,0.000, ca=,0.0272, cr=,0.0344,  1.294734, 
t=,1723232, actvstrat=,mBuy=,-0.506, mSel=,+0.041, b=,0.432, m=,0.002, ca=,0.0292, cr=,0.0334,  1.271886, 
t=,1759133, actvstrat=,mBuy=,-0.519, mSel=,+0.060, b=,0.448, m=,0.000, ca=,0.0264, cr=,0.0337,  1.307570, 
t=,1795033, actvstrat=,mBuy=,-0.555, mSel=,+0.076, b=,0.458, m=,0.040, ca=,0.0291, cr=,0.0351,  1.269018, 
t=,1830934, actvstrat=,mBuy=,-0.519, mSel=,+0.060, b=,0.448, m=,0.000, ca=,0.0264, cr=,0.0337,  1.307570, 
t=,1866837, actvstrat=,mBuy=,-0.535, mSel=,+0.079, b=,0.444, m=,0.016, ca=,0.0294, cr=,0.0363,  1.282693, 
t=,1902738, actvstrat=,mBuy=,-0.519, mSel=,+0.056, b=,0.393, m=,0.000, ca=,0.0268, cr=,0.0395,  1.302328, 
t=,1938638, actvstrat=,mBuy=,-0.505, mSel=,+0.045, b=,0.393, m=,0.009, ca=,0.0246, cr=,0.0420,  1.222571, 
t=,1974538, actvstrat=,mBuy=,-0.475, mSel=,+0.073, b=,0.374, m=,0.000, ca=,0.0263, cr=,0.0414,  1.268788, 
t=,2010440, actvstrat=,mBuy=,-0.490, mSel=,+0.075, b=,0.348, m=,0.014, ca=,0.0267, cr=,0.0417,  1.211199, 
t=,2046341, actvstrat=,mBuy=,-0.519, mSel=,+0.120, b=,0.340, m=,0.043, ca=,0.0304, cr=,0.0397,  1.177390, 
t=,2082241, actvstrat=,mBuy=,-0.487, mSel=,+0.127, b=,0.316, m=,0.025, ca=,0.0342, cr=,0.0424,  1.228368, 
t=,2118142, actvstrat=,mBuy=,-0.487, mSel=,+0.127, b=,0.316, m=,0.025, ca=,0.0342, cr=,0.0424,  1.194603, 
t=,2154043, actvstrat=,mBuy=,-0.510, mSel=,+0.074, b=,0.266, m=,0.015, ca=,0.0337, cr=,0.0418,  1.196713, 
t=,2189944, actvstrat=,mBuy=,-0.516, mSel=,+0.106, b=,0.226, m=,0.000, ca=,0.0317, cr=,0.0395,  1.130967, 
t=,2225845, actvstrat=,mBuy=,-0.489, mSel=,+0.103, b=,0.241, m=,0.002, ca=,0.0327, cr=,0.0393,  1.099806, 
t=,2261745, actvstrat=,mBuy=,-0.533, mSel=,+0.095, b=,0.227, m=,0.013, ca=,0.0327, cr=,0.0394,  1.115077, 
t=,2297646, actvstrat=,mBuy=,-0.484, mSel=,+0.116, b=,0.228, m=,0.011, ca=,0.0291, cr=,0.0418,  1.156504, 
